time,model_name,graph_type,spatial_type,temporal_type,loss_fn,horizon_weight_mode,horizon_weight_gamma,horizon_weights,val_ratio,early_stop_patience,early_stop_min_delta,correlation_topk,correlation_threshold,use_abs_corr,fusion_alpha,predict_steps,history_length,batch_size,learning_rate,weight_decay,optimizer,lr_scheduler,epochs,figure_horizon_step,num_params,peak_gpu_mb,mae,mape,rmse,ckpt_path,fig_path,horizon_metrics_path
2026-04-14 17:10:25,gcn_gru_20260414_170645,connect,gcn,gru,mse,uniform,0.9,"0.333333,0.333333,0.333333",0.1,8,0.0001,,,,,3,12,64,0.001,0.0001,AdamW,plateau,50,0,7578,596.82,21.7572,12.7203,34.3572,results\checkpoints\gcn_gru_20260414_170645_best.pth,results\figures\gcn_gru_20260414_170645_node0_h1_prediction.png,results\horizon_metrics\gcn_gru_20260414_170645.json
2026-04-14 17:20:16,chebnet_gru,connect,chebnet,gru,mse,uniform,0.9,1.000000,0.1,8,0.0001,,,,,1,12,64,0.001,0.0001,AdamW,plateau,50,0,7594,596.52,18.1695,10.7697,28.8546,results\checkpoints\chebnet_gru_best.pth,results\figures\chebnet_gru_node0_h1_prediction.png,results\horizon_metrics\chebnet_gru.json
2026-04-14 17:21:39,chebnet_none,connect,chebnet,none,mse,uniform,0.9,1.000000,0.1,8,0.0001,,,,,1,12,64,0.001,0.0001,AdamW,plateau,50,0,1770,83.01,20.9717,12.8044,33.3282,results\checkpoints\chebnet_none_best.pth,results\figures\chebnet_none_node0_h1_prediction.png,results\horizon_metrics\chebnet_none.json
2026-04-14 17:35:10,gat_gru,connect,gat,gru,mse,uniform,0.9,1.000000,0.1,8,0.0001,,,,,1,12,8,0.001,0.0001,AdamW,plateau,50,0,7834,95.8,20.3167,12.303,32.0399,results\checkpoints\gat_gru_best.pth,results\figures\gat_gru_node0_h1_prediction.png,results\horizon_metrics\gat_gru.json
2026-04-14 17:47:01,gat_none,connect,gat,none,mse,uniform,0.9,1.000000,0.1,8,0.0001,,,,,1,12,8,0.001,0.0001,AdamW,plateau,50,0,2010,28.46,20.8239,12.564,33.0445,results\checkpoints\gat_none_best.pth,results\figures\gat_none_node0_h1_prediction.png,results\horizon_metrics\gat_none.json
2026-04-14 17:51:14,gcn_gru,connect,gcn,gru,mse,uniform,0.9,1.000000,0.1,8,0.0001,,,,,1,12,64,0.001,0.0001,AdamW,plateau,50,0,7562,596.52,20.3677,12.1617,32.214,results\checkpoints\gcn_gru_best.pth,results\figures\gcn_gru_node0_h1_prediction.png,results\horizon_metrics\gcn_gru.json
2026-04-14 17:54:16,gcn_gru_correlation,correlation,gcn,gru,mse,uniform,0.9,1.000000,0.1,8,0.0001,8,0.35,False,,1,12,64,0.001,0.0001,AdamW,plateau,50,0,7562,596.52,20.3447,12.0059,32.4544,results\checkpoints\gcn_gru_correlation_best.pth,results\figures\gcn_gru_correlation_node0_h1_prediction.png,results\horizon_metrics\gcn_gru_correlation.json
2026-04-14 17:58:00,gcn_gru_distance_correlation,distance_correlation,gcn,gru,mse,uniform,0.9,1.000000,0.1,8,0.0001,8,0.3,False,0.5,1,12,64,0.001,0.0001,AdamW,plateau,50,0,7562,596.52,20.1547,11.9478,32.0373,results\checkpoints\gcn_gru_distance_correlation_best.pth,results\figures\gcn_gru_distance_correlation_node0_h1_prediction.png,results\horizon_metrics\gcn_gru_distance_correlation.json
2026-04-14 18:00:35,gcn_none,connect,gcn,none,mse,uniform,0.9,1.000000,0.1,8,0.0001,,,,,1,12,64,0.001,0.0001,AdamW,plateau,50,0,1738,83.01,20.9508,12.0439,33.7622,results\checkpoints\gcn_none_best.pth,results\figures\gcn_none_node0_h1_prediction.png,results\horizon_metrics\gcn_none.json
2026-04-14 18:29:15,chebnet_gru_s42_20260414_182605,connect,chebnet,gru,mse,uniform,0.9,1.000000,0.1,8,0.0001,,,,,1,12,64,0.001,0.0001,AdamW,plateau,50,0,7594,596.52,18.1695,10.7697,28.8546,results\checkpoints\chebnet_gru_s42_20260414_182605_best.pth,results\figures\chebnet_gru_s42_20260414_182605_node0_h1_prediction.png,results\horizon_metrics\chebnet_gru_s42_20260414_182605.json
